ID  Market  Week
10045  Tulsa  4
10045  Tulsa  12
10046  Tulsa  47
10047  Tulsa  4
10047  Tulsa  11
10047  Tulsa  17
10047  Tulsa  23
10048  Tulsa  47
10049  Tulsa  3
10049  Tulsa  5
10049  Tulsa  6
10049  Tulsa  8
10049  Tulsa  13
10049  Tulsa  14
10050  Tulsa  17
10051  Tulsa  11
10052  Tulsa  15
10053  Tulsa  15
10054  Tulsa  13
10054  Tulsa  15
10054  Tulsa  15
10054  Tulsa  26
10055  Tulsa  3
10056  Tulsa  2
10056  Tulsa  4
10056  Tulsa  11
10056  Tulsa  15
10056  Tulsa  28
10057  Tulsa  4
10057  Tulsa  5
10057  Tulsa  44
10058  Tulsa  1
10059  Tulsa  27
10060  Tulsa  1
10060  Tulsa  2
10060  Tulsa  5
10060  Tulsa  15
10060  Tulsa  47
10061  Tulsa  1
10061  Tulsa  4
10062  Tulsa  4
10063  Tulsa  3
10064  Tulsa  1
10064  Tulsa  2
10064  Tulsa  3
10064  Tulsa  4
10064  Tulsa  10
10064  Tulsa  13
10064  Tulsa  48
10065  Tulsa  11
10066  Tulsa  5
10066  Tulsa  9
10066  Tulsa  49
10067  Tulsa  47
10068  Tulsa  2
10069  Tulsa  2
10070  Tulsa  11
10071  Tulsa  10
10072  Tulsa  2
10072  Tulsa  2
10072  Tulsa  4
10072  Tulsa  5
10072  Tulsa  7
10072  Tulsa  12
10072  Tulsa  15
10072  Tulsa  16
10072  Tulsa  18
10072  Tulsa  19
10072  Tulsa  23
10072  Tulsa  51
10073  Tulsa  17
10074  Tulsa  1
10074  Tulsa  2
10074  Tulsa  4
10074  Tulsa  11
10075  Tulsa  5
10075  Tulsa  20
10076  Tulsa  48
10077  Tulsa  30
10078  Tulsa  4
10079  Tulsa  3
10080  Tulsa  8
10080  Tulsa  13
10080  Tulsa  19
10080  Tulsa  22
10080  Tulsa  40
10081  Tulsa  3
10082  Tulsa  1
10082  Tulsa  4
10082  Tulsa  36
10083  Tulsa  16
10084  Tulsa  16
10084  Tulsa  47
10084  Tulsa  47
10084  Tulsa  47
10085  Tulsa  4
10086  Tulsa  1
10087  Tulsa  15
10087  Tulsa  16
10088  Tulsa  30
10089  Tulsa  3
10090  Tulsa  5
10091  Tulsa  10
10091  Tulsa  16
10091  Tulsa  20
10091  Tulsa  35
10092  Tulsa  4
10092  Tulsa  5
10093  Tulsa  30
10093  Tulsa  31
10094  Tulsa  47
10095  Tulsa  47
10096  Tulsa  47
10096  Tulsa  49
10096  Tulsa  52
10097  Tulsa  6
10098  Tulsa  10
10099  Tulsa  1
10099  Tulsa  4
10100  Tulsa  7
10100  Tulsa  7
10101  Tulsa  47
10102  Tulsa  2
10102  Tulsa  29
10102  Tulsa  47
10103  Tulsa  11
10104  Tulsa  50
10104  Tulsa  50
10105  Tulsa  9
10106  Tulsa  2
10107  Tulsa  4
10107  Tulsa  5
10107  Tulsa  10
10107  Tulsa  11
10107  Tulsa  11
10107  Tulsa  13
10107  Tulsa  34
10107  Tulsa  38
10108  Tulsa  1
10108  Tulsa  2
10108  Tulsa  3
10108  Tulsa  4
10108  Tulsa  5
10108  Tulsa  6
10108  Tulsa  7
10108  Tulsa  9
10108  Tulsa  11
10108  Tulsa  12
10108  Tulsa  13
10108  Tulsa  17
10109  Tulsa  30
10110  Tulsa  15
10111  Tulsa  4
10112  Tulsa  42
10112  Tulsa  47
10113  Tulsa  2
10113  Tulsa  4
10113  Tulsa  6
10113  Tulsa  7
10113  Tulsa  8
10113  Tulsa  8
10113  Tulsa  10
10113  Tulsa  11
10113  Tulsa  13
10113  Tulsa  16
10113  Tulsa  17
10113  Tulsa  19
10113  Tulsa  24
10113  Tulsa  35
10113  Tulsa  42
10113  Tulsa  43
10113  Tulsa  47
10113  Tulsa  47
10113  Tulsa  52
10114  Tulsa  11
10115  Tulsa  11
10116  Tulsa  47
10117  Tulsa  1
10117  Tulsa  11
10117  Tulsa  30
10117  Tulsa  35
10117  Tulsa  44
10118  Tulsa  1
10118  Tulsa  10
10118  Tulsa  14
10119  Tulsa  23
10119  Tulsa  23
10120  Tulsa  4
10121  Tulsa  5
10121  Tulsa  6
10121  Tulsa  7
10121  Tulsa  10
10121  Tulsa  11
10121  Tulsa  11
10121  Tulsa  12
10121  Tulsa  16
10121  Tulsa  21
10121  Tulsa  23
10121  Tulsa  24
10121  Tulsa  25
10121  Tulsa  26
10121  Tulsa  27
10121  Tulsa  28
10121  Tulsa  30
10121  Tulsa  31
10121  Tulsa  36
10121  Tulsa  38
10121  Tulsa  50
10122  Tulsa  11
10123  Tulsa  2
10123  Tulsa  5
10124  Tulsa  18
10124  Tulsa  35
10125  Tulsa  47
10125  Tulsa  47
10126  Tulsa  3
10126  Tulsa  11
10127  Tulsa  47
10127  Tulsa  48
10127  Tulsa  49
10128  Tulsa  3
10128  Tulsa  4
10128  Tulsa  5
10129  Tulsa  1
10129  Tulsa  3
10129  Tulsa  4
10129  Tulsa  17
10129  Tulsa  18
10129  Tulsa  28
10129  Tulsa  43
10130  Tulsa  10
10131  Tulsa  11
10132  Tulsa  4
10133  Tulsa  1
10133  Tulsa  8
10133  Tulsa  9
10133  Tulsa  11
10133  Tulsa  15
10133  Tulsa  16
10133  Tulsa  17
10133  Tulsa  22
10133  Tulsa  35
10133  Tulsa  43
10134  Tulsa  24
10135  Tulsa  17
10136  Tulsa  5
10136  Tulsa  11
10136  Tulsa  27
10136  Tulsa  43
10136  Tulsa  48
10137  Tulsa  45
10138  Tulsa  4
10138  Tulsa  6
10138  Tulsa  9
10138  Tulsa  10
10138  Tulsa  10
10138  Tulsa  11
10138  Tulsa  24
10138  Tulsa  49
10138  Tulsa  51
10138  Tulsa  52
10139  Tulsa  4
10140  Tulsa  1
10140  Tulsa  4
10140  Tulsa  7
10140  Tulsa  9
10140  Tulsa  11
10140  Tulsa  11
10140  Tulsa  11
10140  Tulsa  11
10140  Tulsa  48
10141  Tulsa  47
10142  Tulsa  4
10143  Tulsa  13
10144  Tulsa  47
10144  Tulsa  47
10145  Tulsa  1
10145  Tulsa  3
10145  Tulsa  11
10145  Tulsa  46
10146  Tulsa  28
10147  Tulsa  1
10148  Tulsa  1
10148  Tulsa  11
10148  Tulsa  27
10148  Tulsa  39
10149  Tulsa  1
10149  Tulsa  5
10149  Tulsa  11
10149  Tulsa  11
10149  Tulsa  28
10150  Tulsa  15
10150  Tulsa  26
10150  Tulsa  46
10151  Tulsa  6
10152  Tulsa  10
10152  Tulsa  10
10152  Tulsa  11
10153  Tulsa  11
10153  Tulsa  42
10154  Tulsa  34
10154  Tulsa  36
10154  Tulsa  40
10154  Tulsa  47
10155  Tulsa  5
10156  Tulsa  2
10156  Tulsa  7
10156  Tulsa  15
10156  Tulsa  16
10157  Tulsa  17
10158  Tulsa  11
10159  Tulsa  5
10160  Tulsa  11
10161  Tulsa  7
10161  Tulsa  8
10161  Tulsa  9
10162  Tulsa  3
10163  Tulsa  17
10164  Tulsa  8
10165  Tulsa  11
10166  Tulsa  2
10167  Tulsa  47
10168  Tulsa  2
10169  Tulsa  20
10170  Tulsa  3
10170  Tulsa  11
10170  Tulsa  27
10170  Tulsa  31
10170  Tulsa  35
10170  Tulsa  36
10170  Tulsa  39
10170  Tulsa  50
10171  Tulsa  1
10171  Tulsa  6
10172  Tulsa  10
10173  Tulsa  22
10174  Tulsa  1
10174  Tulsa  3
10174  Tulsa  17
10174  Tulsa  22
10174  Tulsa  27
10174  Tulsa  42
10174  Tulsa  49
10175  Tulsa  11
10176  Tulsa  30
10176  Tulsa  32
10176  Tulsa  34
10177  Tulsa  2
10177  Tulsa  10
10177  Tulsa  11
10178  Tulsa  5
10178  Tulsa  20
10178  Tulsa  24
10178  Tulsa  26
10179  Tulsa  2
10179  Tulsa  4
10179  Tulsa  11
10179  Tulsa  11
10179  Tulsa  11
10179  Tulsa  34
10180  Tulsa  6
10180  Tulsa  24
10181  Tulsa  49
10182  Tulsa  9
10183  Tulsa  17
10184  Tulsa  30
10185  Tulsa  1
10186  Tulsa  5
10186  Tulsa  10
10186  Tulsa  13
10186  Tulsa  17
10186  Tulsa  25
10186  Tulsa  29
10186  Tulsa  31
10186  Tulsa  37
10186  Tulsa  39
10186  Tulsa  41
10186  Tulsa  42
10186  Tulsa  44
10186  Tulsa  45
10186  Tulsa  48
10186  Tulsa  52
10187  Tulsa  4
10187  Tulsa  47
10188  Tulsa  1
10188  Tulsa  4
10188  Tulsa  5
10188  Tulsa  35
10188  Tulsa  36
10189  Tulsa  13
10190  Tulsa  11
10191  Tulsa  1
10192  Tulsa  15
10192  Tulsa  30
10193  Tulsa  13
10194  Tulsa  4
10194  Tulsa  42
10195  Tulsa  2
10195  Tulsa  20
10195  Tulsa  22
10196  Tulsa  7
10196  Tulsa  12
10197  Tulsa  3
10197  Tulsa  11
10198  Tulsa  10
10198  Tulsa  11
10198  Tulsa  30
10199  Tulsa  47
10200  Tulsa  3
10200  Tulsa  4
10200  Tulsa  5
10200  Tulsa  5
10200  Tulsa  14
10200  Tulsa  49
10201  Tulsa  49
10202  Tulsa  12
10202  Tulsa  29
10202  Tulsa  38
10203  Tulsa  2
10203  Tulsa  10
10203  Tulsa  14
10203  Tulsa  15
10203  Tulsa  17
10203  Tulsa  20
10203  Tulsa  21
10203  Tulsa  21
10203  Tulsa  23
10203  Tulsa  24
10203  Tulsa  26
10203  Tulsa  30
10203  Tulsa  47
10204  Tulsa  26
10204  Tulsa  27
10205  Tulsa  11
10205  Tulsa  30
10205  Tulsa  48

